Date,Open,High,Low,Close,Volume
12/02/2015 16:00,67.83,67.88,66.48,66.66,13440656
12/03/2015 16:00,66.83,67.03,65.58,65.8,14625381
12/04/2015 16:00,66.1,68,66.03,67.89,17786018
12/07/2015 16:00,67.66,67.75,66.4,67,11685333
12/08/2015 16:00,66.25,66.96,65.7,65.96,13083764
12/09/2015 16:00,65.61,66.58,65.04,65.46,16770188
12/10/2015 16:00,65.54,66.5,65.08,65.61,12838276
12/11/2015 16:00,64.8,65.16,63.51,64.07,17889163
12/14/2015 16:00:00,64.23,64.76,63.6,64.27,17633059
12/15/2015 16:00:00,65.07,66.65,65.07,66.1,18126319
12/16/2015 16:00:00,66.91,67.74,65.91,67.53,21719549
12/17/2015 16:00:00,67.9,68,66.08,66.28,18120850
12/18/2015 16:00:00,65.97,65.97,64.4,64.4,23794229
12/21/2015 16:00:00,65.02,65.56,64.83,65.54,18863917
12/22/2015 16:00:00,65.92,66,64.98,65.68,12146868
12/23/2015 16:00:00,66.12,66.85,66.05,66.73,12524353
12/24/2015 16:00:00,66.62,66.89,66.32,66.6,4468242
12/28/2015 16:00:00,66.29,66.45,65.71,66.38,6610446
12/29/2015 16:00:00,66.84,67.3,66.74,67.07,9820660
12/30/2015 16:00:00,67.04,67.05,66.45,66.59,7190350
12/31/2015 16:00:00,66.19,66.78,66,66.03,14654329
1/04/2016 16:00,63.95,64.06,63.01,63.62,25386652
1/05/2016 16:00,63.7,64.13,63.04,63.73,16566703
1/06/2016 16:00,62.72,63.13,62.34,62.81,22960882
1/07/2016 16:00,61.46,62,60.08,60.27,27626478
1/08/2016 16:00,61.13,61.27,58.85,58.92,22366146
1/11/2016 16:00,58.83,59.22,58.04,58.83,20924492
1/12/2016 16:00,59.45,59.56,58.1,58.96,22969310
1/13/2016 16:00:00,59.46,59.68,56.91,57.34,28801522
1/14/2016 16:00:00,58.16,59.38,57.29,58.2,31294785
1/15/2016 16:00:00,56.45,57.57,56.22,57.04,37713689
1/19/2016 16:00:00,57.73,57.97,56.51,57.01,22817090
1/20/2016 16:00:00,55.63,56.18,54.66,55.51,34644883
1/21/2016 16:00:00,55.74,56.52,55.06,55.25,31300288
1/22/2016 16:00:00,56.44,57.16,56.3,56.95,22731887
1/25/2016 16:00:00,56.48,56.85,55.6,55.66,21114255
1/26/2016 16:00:00,55.85,57.15,55.81,57.08,17535632
1/27/2016 16:00:00,57.08,58.27,56.56,57.04,20559921
1/28/2016 16:00:00,57.52,57.97,56.63,57.28,15497766
1/29/2016 16:00:00,57.83,59.54,57.51,59.5,26988250
2/01/2016 16:00,59.16,59.65,58.44,58.86,16807536
2/02/2016 16:00,57.88,57.98,56.75,57.03,22447841
2/03/2016 16:00,57.37,57.8,55.02,57.41,31542608
2/04/2016 16:00,57.06,58.52,57.06,58.4,21651106
2/05/2016 16:00,58.58,59.14,57.42,57.75,22000260
2/08/2016 16:00,56.69,56.92,55.54,56.54,28267584
2/09/2016 16:00,55.29,56.69,55.13,56.2,26299049
2/10/2016 16:00,56.57,57.41,55.47,55.52,22387330
2/11/2016 16:00,53.9,53.91,52.5,53.07,44311276
2/12/2016 16:00,55.65,57.57,55.17,57.49,37010089
2/16/2016 16:00:00,58.23,58.6,57.64,58.35,23724221
2/17/2016 16:00:00,58.85,59.25,58.39,58.77,21579983
2/18/2016 16:00:00,58.84,58.86,57.25,57.81,17037491
2/19/2016 16:00:00,57.5,58.17,57.08,57.82,15657870
2/22/2016 16:00:00,58.51,58.88,58.42,58.57,14882418
2/23/2016 16:00:00,57.9,58.09,55.96,56.12,31754364
2/24/2016 16:00:00,55.2,56.21,54.33,56.14,25555895
2/25/2016 16:00:00,56.13,57.03,56.04,57.01,14470725
2/26/2016 16:00:00,57.64,58.11,57.14,57.54,20946945
2/29/2016 16:00:00,57.41,57.61,56.29,56.3,19552130
3/01/2016 16:00,56.76,59.2,56.67,59.2,23950339
3/02/2016 16:00,59.2,59.9,58.96,59.76,20943122
3/03/2016 16:00,59.58,59.96,59.1,59.96,15788954
3/04/2016 16:00,60.1,60.55,59.53,60.05,18457014
3/07/2016 16:00,59.54,60.05,59.32,59.94,12830250
3/08/2016 16:00,59.21,59.5,58.68,58.78,14132878
3/09/2016 16:00,59.15,59.54,58.68,59.12,13238828
3/10/2016 16:00,59.59,59.67,57.81,58.61,21137907
3/11/2016 16:00,59.39,59.51,58.65,59.34,21054273
3/14/2016 16:00:00,59.15,59.31,58.6,59.12,13435939
3/15/2016 16:00:00,58.54,59.21,58.43,59.2,10910268
3/16/2016 16:00:00,58.98,59.75,58.47,58.92,17423930
3/17/2016 16:00:00,58.77,59.13,57.99,58.75,9845941
3/18/2016 16:00:00,60.05,60.97,59.66,60.48,29570135
3/21/2016 16:00:00,60.22,60.82,59.96,60.46,12684103
3/22/2016 16:00:00,59.99,60.58,59.62,60.24,12042314
3/23/2016 16:00:00,60.34,60.51,59.86,59.94,11658591
3/24/2016 16:00:00,59.3,59.51,58.87,59.48,12920724
3/28/2016 16:00:00,59.53,59.75,59.18,59.4,11159417
3/29/2016 16:00:00,59.33,59.33,58.53,59.03,15931608
3/30/2016 16:00:00,59.46,60.23,59.38,59.71,13307092
3/31/2016 16:00:00,59.45,59.93,59.11,59.22,14904365
4/01/2016 16:00,59.02,60.06,58.56,59.87,15417507
