Date,rf_rate
2017-06-06,0.00010666666666666665
2017-06-07,0.00010888888888888889
2017-06-08,0.00010999999999999999
2017-06-09,0.00010999999999999999
2017-06-12,0.00010777777777777778
2017-06-13,0.00010999999999999999
2017-06-14,0.00010999999999999999
2017-06-15,0.00011111111111111112
2017-06-16,0.00011222222222222222
2017-06-19,0.00011222222222222222
2017-06-20,0.00011111111111111112
2017-06-21,0.00010777777777777778
2017-06-22,0.00010444444444444443
2017-06-23,0.00010555555555555555
2017-06-26,0.00010888888888888889
2017-06-27,0.00010999999999999999
2017-06-28,0.00011111111111111112
2017-06-29,0.00011333333333333334
2017-06-30,0.00011222222222222222
2017-07-03,0.00011555555555555555
2017-07-05,0.00011444444444444444
2017-07-06,0.00011333333333333334
2017-07-07,0.00011444444444444444
2017-07-10,0.00011444444444444444
2017-07-11,0.00011444444444444444
2017-07-12,0.00011444444444444444
2017-07-13,0.00011444444444444444
2017-07-14,0.00011333333333333334
2017-07-17,0.00011666666666666668
2017-07-18,0.00011666666666666668
2017-07-19,0.00012111111111111112
2017-07-20,0.00012555555555555554
2017-07-21,0.00012666666666666666
2017-07-24,0.00012777777777777776
2017-07-25,0.0001288888888888889
2017-07-26,0.00012333333333333334
2017-07-27,0.00012111111111111112
2017-07-28,0.00011777777777777778
2017-07-31,0.00011666666666666668
2017-08-01,0.00011777777777777778
2017-08-02,0.00011777777777777778
2017-08-03,0.00011777777777777778
2017-08-04,0.00011777777777777778
2017-08-07,0.00011222222222222222
2017-08-08,0.00011555555555555555
2017-08-09,0.00011555555555555555
2017-08-10,0.00011444444444444444
2017-08-11,0.00011222222222222222
2017-08-14,0.00011222222222222222
2017-08-15,0.00011333333333333334
2017-08-16,0.00011111111111111112
2017-08-17,0.00010888888888888889
2017-08-18,0.00011111111111111112
2017-08-21,0.00010999999999999999
2017-08-22,0.00010999999999999999
2017-08-23,0.00010888888888888889
2017-08-24,0.00011111111111111112
2017-08-25,0.00011222222222222222
2017-08-28,0.00010777777777777778
2017-08-29,0.00011222222222222222
2017-08-30,0.00011222222222222222
2017-08-31,0.00010999999999999999
2017-09-01,0.00011111111111111112
2017-09-05,0.00011222222222222222
2017-09-06,0.00011666666666666668
2017-09-07,0.00011444444444444444
2017-09-08,0.00011333333333333334
2017-09-11,0.00011555555555555555
2017-09-12,0.00011333333333333334
2017-09-13,0.00011333333333333334
